ICAO;NAME;ELEVEATION IN FT;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH;RWY;LENGTH
KS40;PROSSER;705;8;3451;26;3451;;;;;;;;;;;;
KS42;SPRINGER MUN;5891;1;5003;19;5003;;;;;;;;;;;;
KS43;HARVEY;23;15L;2672;15R;2430;33L;2430;33R;2672;;;;;;;;
KS44;SPANAWAY;385;16;2724;34;2724;;;;;;;;;;;;
KS45;SILETZ BAY STATE;69;17;3297;35;3297;;;;;;;;;;;;
KS48;COUNTRY SQUIRE;1175;7;3095;25;3095;;;;;;;;;;;;
KS49;MILLER MEML;2249;10;2100;18;3872;28;2100;36;3872;;;;;;;;
KS50;AUBURN MUN;63;16;3400;34;3400;;;;;;;;;;;;
KS51;MC BETH;42;11;2400;29;2400;;;;;;;;;;;;
KS52;METHOW VALLEY STATE;1706;13;5049;31;5049;;;;;;;;;;;;
KS59;LIBBY;2605;15;5003;33;5003;;;;;;;;;;;;
KS64;STANFORD/BIGGERSTAFF;4327;7;1760;11;4200;25;1760;29;4200;;;;;;;;
KS66;HOMEDALE MUN;2220;13;2901;31;2901;;;;;;;;;;;;
KS68;OROFINO MUN;1005;9;2500;27;2500;;;;;;;;;;;;
KS69;LINCOLN;4603;4;4239;22;4239;;;;;;;;;;;;
KS70;OTHELLO MUN;1149;7;4000;25;4000;;;;;;;;;;;;
KS71;OBIE;2416;8;4000;26;4000;;;;;;;;;;;;
KS72;ST MARIES MUN;2131;10;3354;28;3354;;;;;;;;;;;;
KS73;KAMIAH MUN;1206;14;3000;32;3000;;;;;;;;;;;;
KS75;PAYETTE MUN;2228;13;3000;31;3000;;;;;;;;;;;;
KS77;MAGEE;3002;1;2200;19;2200;;;;;;;;;;;;
KS78;EMMETT MUN;2354;10;3307;28;3307;;;;;;;;;;;;
KS79;GREEN SEA;95;9;3600;27;3600;;;;;;;;;;;;
KS81;INDIAN CREEK USFS;4718;4;4650;22;4650;;;;;;;;;;;;
KS82;KOOSKIA MUN;1263;14;1900;32;1900;;;;;;;;;;;;
KS83;SHOSHONE CO;2227;7;5316;25;5316;;;;;;;;;;;;
KS84;COTTONWOOD MUN;3474;7;3100;25;3100;;;;;;;;;;;;
KS85;BIG SKY;1953;8;3800;26;3800;;;;;;;;;;;;
KS87;WEISER MUN;2120;12;4000;30;4000;;;;;;;;;;;;
KS88;SKYKOMISH STATE;1002;6;2050;24;2050;;;;;;;;;;;;
KS89;CRAIGMONT MUN;3805;7;2800;25;2800;;;;;;;;;;;;
KS90;ELK CITY;4097;14;2600;35;2600;;;;;;;;;;;;
KS92;FISH LAKE USFS;5646;5;2650;23;2650;;;;;;;;;;;;
KS93;CLE ELUM MUN;1945;7;2379;25;2379;;;;;;;;;;;;
KS94;PORT OF WHITMAN BUSINESS AIR C;2181;8;3209;26;3209;;;;;;;;;;;;
KS95;MARTIN;746;5;3819;23;3819;;;;;;;;;;;;
KS97;ANDERSON;918;7;4000;25;4000;;;;;;;;;;;;
KSAA;SHIVELY;7015;5;8801;23;8801;;;;;;;;;;;;
KSAC;SACRAMENTO EXECUTIVE;24;2;5503;12;3837;16;3505;20;5503;30;3837;34;3505;;;;
KSAD;SAFFORD REGL;3179;8;4799;12;6006;26;4799;30;6006;;;;;;;;
KSAF;SANTA FE MUN;6349;2;8366;10;6301;15;6316;20;8366;28;6301;33;6316;;;;
KSAN;SAN DIEGO INTL;17;9;9400;27;9400;;;;;;;;;;;;
KSAR;SPARTA COMMUNITY-HUNTER;538;9;2958;18;4002;27;2958;36;4002;;;;;;;;
KSAS;SALTON SEA;-84;7;5000;25;5000;;;;;;;;;;;;
KSAT;SAN ANTONIO INTL;809;4;8505;13L;5519;13R;8502;22;8505;31L;8502;31R;5519;;;;
KSAV;SAVANNAH/HILTON HEAD INTL;50;1;7002;10;9351;19;7002;28;9351;;;;;;;;
KSAW;SAWYER INTL;1221;1;12366;19;12366;;;;;;;;;;;;
KSAZ;STAPLES MUN;1288;14;3305;32;3305;;;;;;;;;;;;
KSBA;SANTA BARBARA MUN;13;7;6052;15L;4180;15R;4184;25;6052;33L;4184;33R;4180;;;;
KSBD;SAN BERNARDINO INTL;1159;6;10001;24;10001;;;;;;;;;;;;
KSBM;SHEBOYGAN CO MEML;755;4;6800;13;5000;22;6800;31;5000;;;;;;;;
KSBN;SOUTH BEND INTL;798;09L;4300;09R;8412;18;7101;27L;8412;27R;4300;36;7101;;;;
KSBO;EAST GEORGIA REGIONAL;327;14;6021;32;6021;;;;;;;;;;;;
KSBP;SAN LUIS CO REGL;212;7;2500;11;6101;25;2500;29;6101;;;;;;;;
KSBS;STEAMBOAT SPRINGS/ADAMS;6882;14;4452;32;4452;;;;;;;;;;;;
KSBU;BLUE EARTH MUN;1107;3;2245;16;3400;21;2245;34;3400;;;;;;;;
KSBX;SHELBY;3443;5;5005;11;3701;23;5005;29;3701;;;;;;;;
KSBY;SALISBURY-OCEAN CITY WICOMICO;53;5;5000;14;6400;23;5000;32;6400;;;;;;;;
KSCA;SIDNEY MUN;1044;5;2981;10;5013;23;2981;28;5013;;;;;;;;
KSCB;SCRIBNER STATE;1325;12;3199;17;4200;30;3199;35;4200;;;;;;;;
KSCD;MERKEL SYLACAUGA MUN;569;9;5390;27;5390;;;;;;;;;;;;
KSCH;SCHENECTADY CO;378;4;7001;10;4850;22;7001;28;4850;;;;;;;;
KSCK;STOCKTON METRO;33;11L;10649;11R;4448;29L;4448;29R;10649;;;;;;;;
KSCR;SILER CITY MUN;615;4;5000;22;5000;;;;;;;;;;;;
KSCX;SCOTT MUN;1545;5;5506;23;5506;;;;;;;;;;;;
KSDA;SHENANDOAH MUN;971;4;5000;12;3439;22;5000;30;3439;;;;;;;;
KSDC;WILLIAMSON-SODUS;424;10;3801;28;3801;;;;;;;;;;;;
KSDF;LOUISVILLE INTL-STANDIFORD;501;11;7250;17L;8579;17R;11887;29;7250;35L;11887;35R;8579;;;;
KSDL;SCOTTSDALE;1510;3;8249;21;8249;;;;;;;;;;;;
KSDM;BROWN MUN;526;08L;7972;08R;3180;26L;3180;26R;7972;;;;;;;;
KSDY;SIDNEY-RICHLAND REGL;1985;1;5705;11;4024;19;5705;29;4024;;;;;;;;
KSEA;SEATTLE-TACOMA INTL;433;16C;9426;16L;11901;16R;8500;34C;9426;34L;8500;34R;11901;;;;
KSEE;GILLESPIE;388;09L;5342;09R;2738;17;4145;27L;2738;27R;5342;35;4145;;;;
KSEF;SEBRING REGL;62;1;5234;14;4990;19;5234;32;4990;;;;;;;;
KSEG;PENN VALLEY;464;17;4760;35;4760;;;;;;;;;;;;
KSEM;CRAIG;166;15;8014;33;8014;;;;;;;;;;;;
KSEP;STEPHENVILLE CLARK RGNL;1321;14;4209;32;4209;;;;;;;;;;;;
KSER;FREEMAN MUN;583;5;5500;9;1104;14;5502;18;1216;23;5500;27;1104;32;5502;36;1216
KSET;ST CHARLES CO SMARTT;437;9;2000;18;3800;27;2000;36;3800;;;;;;;;
KSEZ;SEDONA;4830;3;5132;21;5132;;;;;;;;;;;;
KSFB;ORLANDO SANFORD INTL;55;09C;3578;09L;11002;09R;6647;18;6002;27C;3578;27L;6647;27R;11002;36;6002
KSFF;FELTS;1957;3;6000;04L;4499;04R;2650;21;6000;22L;2650;22R;4499;;;;
KSFM;SANFORD SEACOAST REGL;244;7;6389;14;4999;25;6389;32;4999;;;;;;;;
KSFO;SAN FRANCISCO INTL;13;01L;7650;01R;8650;10L;11870;10R;11381;19L;8650;19R;7650;28L;11381;28R;11870
KSFQ;SUFFOLK EXECUTIVE;70;4;5007;7;3750;22;5007;25;3750;;;;;;;;
KSFY;TRI-TOWNSHIP;616;13;4001;31;4001;;;;;;;;;;;;
KSFZ;NORTH CENTRAL STATE;441;5;5000;15;3211;23;5000;33;3211;;;;;;;;
KSGF;SPRINGFIELD-BRANSON NATL;1268;2;7003;14;8000;20;7003;32;8000;;;;;;;;
KSGH;SPRINGFIELD-BECKLEY MUN;1051;6;9009;15;5499;24;9009;33;5499;;;;;;;;
KSGJ;NORTHEAST FLORIDA REGL;10;2;2610;6;2701;13;8002;20;2610;24;2701;31;8002;;;;
KSGR;SUGAR LAND REGL;82;17;8000;35;8000;;;;;;;;;;;;
KSGS;SOUTH ST PAUL MUN-FLEMING;821;16;4002;34;4002;;;;;;;;;;;;
KSGT;STUTTGART MUN HUMPHREY;224;9;5000;18;6015;27;5000;36;6015;;;;;;;;
KSGU;ST GEORGE REGL;2884;1;9300;19;9300;;;;;;;;;;;;
KSHD;SHENANDOAH VALLEY REGL;1201;5;6002;23;6002;;;;;;;;;;;;
KSHL;SHELDON REGL;1419;15;4199;33;4199;;;;;;;;;;;;
KSHN;SANDERSON;273;5;5005;23;5005;;;;;;;;;;;;
KSHR;SHERIDAN CO;4021;6;5039;15;8301;24;5039;33;8301;;;;;;;;
KSHV;SHREVEPORT REGL;258;6;6202;14;8350;24;6202;32;8350;;;;;;;;
KSIF;ROCKINGHAM CO-SHILOH;694;13;5200;31;5200;;;;;;;;;;;;
KSIK;SIKESTON MEMORIAL MUNI;315;2;5502;20;5502;;;;;;;;;;;;
KSIV;SULLIVAN CO;539;18;4359;36;4359;;;;;;;;;;;;
KSIY;SISKIYOU CO;2651;17;7490;35;7490;;;;;;;;;;;;
KSJC;MINETA SAN JOSE INTL;62;12L;11000;12R;11000;30L;11000;30R;11000;;;;;;;;
KSJN;ST JOHNS INDUSTRIAL;5737;3;3400;14;5322;21;3400;32;5322;;;;;;;;
KSJS;BIG SANDY REGL;1221;3;5000;21;5000;;;;;;;;;;;;
KSJT;SAN ANGELO REGL/MATHIS;1919;3;5939;9;4402;18;8049;21;5939;27;4402;36;8049;;;;
KSJX;BEAVER I;670;9;4299;14;3278;27;4299;32;3278;;;;;;;;
KSKA;FAIRCHILD AFB;2462;5;13899;23;13899;;;;;;;;;;;;
KSKF;KELLY;690;16;11550;34;11550;;;;;;;;;;;;
KSKI;SAC CITY MUN;1250;14;2350;18;4100;32;2350;36;4100;;;;;;;;
KSKX;TAOS REGL;7095;4;5504;13;8600;22;5504;31;8600;;;;;;;;
KSLB;STORM LAKE MUN;1488;6;1962;13;3034;17;5002;24;1962;31;3034;35;5002;;;;
KSLC;SALT LAKE CITY INTL;4227;14;4892;16L;12002;16R;12000;17;9597;32;4892;34L;12000;34R;12002;35;9597
KSLE;MCNARY;214;13;5811;16;5146;31;5811;34;5146;;;;;;;;
KSLG;SMITH;1191;18;4997;36;4997;;;;;;;;;;;;
KSLH;CHEBOYGAN CO;640;10;4005;17;1874;28;4005;35;1874;;;;;;;;
KSLI;LOS ALAMITOS AAF;35;04L;5901;04R;7999;22L;7999;22R;5901;;;;;;;;
KSLK;ADIRONDACK REGL;1663;5;6573;9;3998;23;6573;27;3998;;;;;;;;
KSLN;SALINA REGL;1288;4;3648;12;6510;17;12301;18;4301;22;3648;30;6510;35;12301;36;4301
KSLO;SALEM-LECKRONE;573;18;4098;36;4098;;;;;;;;;;;;
KSLR;SULPHUR SPRINGS MUN;489;1;5001;19;5001;;;;;;;;;;;;
KSMD;SMITH;836;5;3126;13;2922;23;3126;31;2922;;;;;;;;
KSME;LAKE CUMBERLAND REGL;927;5;5801;23;5801;;;;;;;;;;;;
KSMF;SACRAMENTO INTL;27;17L;8605;17R;8598;35L;8598;35R;8605;;;;;;;;
KSMN;LEMHI CO;4044;17;5510;35;5510;;;;;;;;;;;;
KSMO;SANTA MONICA MUN;170;3;3500;21;3500;;;;;;;;;;;;
KSMQ;SOMERSET;106;8;1923;12;2739;17;1700;26;1923;30;2739;35;1700;;;;
KSMS;SUMTER;182;5;5501;14;3081;23;5501;32;3081;;;;;;;;
KSMX;SANTA MARIA PUB/CAPT HANCOCK;261;2;5189;12;8004;20;5189;30;8004;;;;;;;;
KSNA;JOHN WAYNE-ORANGE CO;56;02L;5701;02R;2887;20L;2887;20R;5701;;;;;;;;
KSNC;CHESTER;416;17;2722;35;2722;;;;;;;;;;;;
KSNH;SAVANNAH-HARDIN CO;473;1;5000;19;5000;;;;;;;;;;;;
KSNK;WINSTON;2430;8;4200;17;5599;26;4200;35;5599;;;;;;;;
KSNL;SHAWNEE RGNL;1073;17;5997;35;5997;;;;;;;;;;;;
KSNS;SALINAS MUN;84;8;6004;13;4825;26;6004;31;4825;;;;;;;;
KSNY;SIDNEY MUN/CARR;4313;3;4700;13;6600;21;4700;31;6600;;;;;;;;
KSOA;SONORA MUN;2140;18;4037;36;4037;;;;;;;;;;;;
KSOP;MOORE CO;459;5;6502;23;6502;;;;;;;;;;;;
KSOW;SHOW LOW REGL;6415;3;3938;6;7200;21;3938;24;7200;;;;;;;;
KSOY;SIOUX CENTER MUN;1448;18;3802;36;3802;;;;;;;;;;;;
KSPA;SPARTANBURG DOWNTOWN MEML;801;5;5202;23;5202;;;;;;;;;;;;
KSPB;SCAPPOOSE INDUSTRIAL;58;15;5100;33;5100;;;;;;;;;;;;
KSPF;BLACK HILLS-ICE;3933;4;1995;8;4003;13;6401;22;1995;26;4003;31;6401;;;;
KSPG;WHITTED;7;7;3677;18;2864;25;3677;36;2864;;;;;;;;
KSPH;SPRINGHILL;218;18;4202;36;4202;;;;;;;;;;;;
KSPI;ABRAHAM LINCOLN CAPITAL;598;4;8001;13;7400;18;5300;22;8001;31;7400;36;5300;;;;
KSPK;SPANISH FORK SPRINGVILLE-WOODH;4530;12;6500;30;6500;;;;;;;;;;;;
KSPS;SHEPPARD AFB/WICHITA FALLS MUN;1019;15C;10002;15L;6000;15R;13100;17;7021;33C;10002;33L;13100;33R;6000;35;7021
KSPW;SPENCER MUN;1339;12;6001;18;5100;30;6001;36;5100;;;;;;;;
KSPZ;SILVER SPRINGS;4265;6;6001;24;6001;;;;;;;;;;;;
KSQI;WHITESIDE CO-BITTORF;648;7;6499;18;3900;25;6499;36;3900;;;;;;;;
KSQL;SAN CARLOS;5;12;2600;30;2600;;;;;;;;;;;;
KSRB;UPPER CUMBERLAND REGL;1025;4;6704;22;6704;;;;;;;;;;;;
KSRC;SEARCY MUN;265;1;6008;19;6008;;;;;;;;;;;;
KSRE;SEMINOLE MUN;1023;5;2000;16;5004;23;2000;34;5004;;;;;;;;
KSRQ;SARASOTA-BRADENTON INTL;30;4;5009;14;9500;22;5009;32;9500;;;;;;;;
KSRR;SIERRA BLANCA REGL;6814;6;8120;12;6309;24;8120;30;6309;;;;;;;;
KSSC;SHAW AFB;241;04L;10014;04R;8014;22L;8014;22R;10014;;;;;;;;
KSSF;STINSON MUN;577;9;5000;14;4128;27;5000;32;4128;;;;;;;;
KSSI;MCKINNON ST SIMONS I;19;4;5584;16;3313;22;5584;34;3313;;;;;;;;
KSSQ;SHELL LAKE MUN;1233;14;3711;32;3711;;;;;;;;;;;;
KSTC;ST CLOUD REGL;1031;5;3000;13;7500;23;3000;31;7500;;;;;;;;
KSTE;STEVENS POINT MUN;1110;3;6028;12;3642;21;6028;30;3642;;;;;;;;
KSTF;BRYAN;333;18;5550;36;5550;;;;;;;;;;;;
KSTJ;ROSECRANS MEML;827;13;4797;17;8061;31;4797;35;8061;;;;;;;;
KSTK;STERLING MUN;4038;15;5201;33;5201;;;;;;;;;;;;
KSTL;ST LOUIS LAMBERT INTL;618;6;7607;11;9001;12L;9003;12R;11019;24;7607;29;9001;30L;11019;30R;9003
KSTP;ST PAUL DOWNTOWN-HOLMAN;705;9;3642;13;4004;14;6491;27;3642;31;4004;32;6491;;;;
KSTS;SCHULZ-SONOMA CO;129;2;5202;14;6000;20;5202;32;6000;;;;;;;;
KSUA;WITHAM;16;7;4652;12;5828;16;4998;25;4652;30;5828;34;4998;;;;
KSUD;STROUD MUN;901;18;3000;36;3000;;;;;;;;;;;;
KSUE;DOOR CO CHERRYLAND;724;2;4599;10;3199;20;4599;28;3199;;;;;;;;
KSUN;FRIEDMAN MEML;5320;13;7550;31;7550;;;;;;;;;;;;
KSUO;ROSEBUD SIOUX TRIBAL;2724;16;4801;34;4801;;;;;;;;;;;;
KSUS;SPIRIT OF ST LOUIS;463;08L;5000;08R;7485;26L;7485;26R;5000;;;;;;;;
KSUT;CAPE FEAR REGL JETPORT/HOWIE F;26;5;5505;23;5505;;;;;;;;;;;;
KSUU;TRAVIS AFB;63;03L;11001;03R;10995;21L;10995;21R;11001;;;;;;;;
KSUW;BONG;674;4;5100;14;4001;22;5100;32;4001;;;;;;;;
KSUX;SIOUX GATEWAY/COLONEL DAY;1098;13;9002;17;6600;31;9002;35;6600;;;;;;;;
KSUZ;SALINE CO REGL;389;2;5002;20;5002;;;;;;;;;;;;
KSVC;GRANT CO;5446;3;4537;8;6802;12;4675;17;5473;21;4537;26;6802;30;4675;35;5473
KSVE;SUSANVILLE MUN;4149;7;2180;11;4051;25;2180;29;4051;;;;;;;;
KSVH;STATESVILLE REGL;968;10;7003;28;7003;;;;;;;;;;;;
KSVN;HUNTER AAF;41;10;11375;28;11375;;;;;;;;;;;;
KSWF;STEWART INTL;491;9;11817;16;6004;27;11817;34;6004;;;;;;;;
KSWI;SHERMAN MUN;746;16;4000;34;4000;;;;;;;;;;;;
KSWO;STILLWATER REGL;1000;4;5004;17;7401;22;5004;35;7401;;;;;;;;
KSWT;SEWARD MUN;1506;4;3400;16;4200;22;3400;34;4200;;;;;;;;
KSWW;AVENGER;2380;4;5658;17;5840;22;5658;35;5840;;;;;;;;
KSXL;SUMMERSVILLE;1820;4;3015;22;3015;;;;;;;;;;;;
KSXU;SANTA ROSA ROUTE 66;4791;1;5013;8;4294;19;5013;26;4294;;;;;;;;
KSYF;CHEYENNE CO MUN;3430;9;1799;14;5200;18;2313;27;1799;32;5200;36;2313;;;;
KSYI;BOMAR-SHELBYVILLE MUN;801;18;5503;36;5503;;;;;;;;;;;;
KSYM;MOREHEAD-ROWAN CO THOMAS REGL;1028;2;5500;20;5500;;;;;;;;;;;;
KSYN;STANTON;920;9;1970;18;2550;27;1970;36;2550;;;;;;;;
KSYR;SYRACUSE HANCOCK INTL;421;10;9003;15;7500;28;9003;33;7500;;;;;;;;
KSYV;SYLVESTER;403;1;3293;19;3293;;;;;;;;;;;;
KSZL;WHITEMAN AFB;871;1;12400;19;12400;;;;;;;;;;;;
KSZP;SANTA PAULA;248;4;2713;22;2713;;;;;;;;;;;;
KSZT;SANDPOINT;2131;2;5501;20;5501;;;;;;;;;;;;
KSZY;SIBLEY;610;17;5002;35;5002;;;;;;;;;;;;
KT00;CHAMBERS CO;21;12;3005;17;1900;30;3005;35;1900;;;;;;;;
KT03;TUBA CITY;4513;15;6230;33;6230;;;;;;;;;;;;
KT05;JOHNSON;10;12;3200;30;3200;;;;;;;;;;;;
KT12;KIRBYVILLE;121;4;1983;13;3746;22;1983;31;3746;;;;;;;;
KT13;DALLAS SOUTH PORT;474;17;3800;35;3800;;;;;;;;;;;;
KT14;ROCKIN M;487;18;3120;36;3120;;;;;;;;;;;;
KT15;MARLIN;411;17;3021;35;3021;;;;;;;;;;;;
KT16;RESERVE;6360;6;4777;24;4777;;;;;;;;;;;;
KT19;DUVAL-FREER;564;14;3200;32;3200;;;;;;;;;;;;
KT20;DREYER MEM;354;15;3200;33;3200;;;;;;;;;;;;
KT23;ALBANY MUN;1415;17;5000;35;5000;;;;;;;;;;;;
KT24;PINELAND MUN;260;17;3700;35;3700;;;;;;;;;;;;
KT25;AERO ESTATES;445;9;3100;27;3100;;;;;;;;;;;;
KT26;FLYING V RANCH;60;14;2990;32;2990;;;;;;;;;;;;
KT29;FLYING H RANCH;760;18;2395;36;2395;;;;;;;;;;;;
KT30;MC KINLEY;586;13;5027;31;5027;;;;;;;;;;;;
KT31;AERO COUNTRY;765;17;4352;35;4352;;;;;;;;;;;;
KT32;SUDDEN STOP;720;17;1550;35;1550;;;;;;;;;;;;
KT35;CAMERON MUN;402;16;3200;34;3200;;;;;;;;;;;;
KT36;PITTMAN MEML;384;18;3000;36;3000;;;;;;;;;;;;
KT37;GOLDTHWAITE MUN;1457;1;3200;19;3200;;;;;;;;;;;;
KT39;ARCHER CITY MUN;1065;17;3200;35;3200;;;;;;;;;;;;
KT41;LA PORTE MUN;25;5;2998;12;4165;23;2998;30;4165;;;;;;;;
KT42;RUTH;2781;13;3500;31;3500;;;;;;;;;;;;
KT45;PANHANDLE-CARSON CO;3454;17;4404;35;4404;;;;;;;;;;;;
KT48;PHILLIPS FLYING RANCH;500;13;3344;31;3344;;;;;;;;;;;;
KT50;MENARD CO;1933;15;4100;33;4100;;;;;;;;;;;;
KT51;JONES INTL;166;17;3440;35;3440;;;;;;;;;;;;
KT54;LANE;94;13;3200;31;3200;;;;;;;;;;;;
KT55;DIMMITT MUN;3883;1;5500;19;5500;;;;;;;;;;;;
KT56;EAGLES NEST ESTATES;780;17;3216;35;3216;;;;;;;;;;;;
KT58;IRONHEAD;715;18;2500;36;2500;;;;;;;;;;;;
KT59;WHEELER MUN;2470;17;3565;35;3565;;;;;;;;;;;;
KT60;STONEWALL CO;1744;17;4000;35;4000;;;;;;;;;;;;
KT65;MID VALLEY;70;14;6002;32;6002;;;;;;;;;;;;
KT67;HICKS;855;14;3740;32;3740;;;;;;;;;;;;
KT69;THOMAS;48;3;3100;14;4323;21;3100;32;4323;;;;;;;;
KT70;LAUGHLIN AFB AUX NO 1;1004;13;6001;31;6001;;;;;;;;;;;;
KT71;CUERO MUN;214;14;2800;32;2800;;;;;;;;;;;;
KT73;KIRK AIR BASE;578;15;2600;33;2600;;;;;;;;;;;;
KT74;TAYLOR MUN;600;17;4000;35;4000;;;;;;;;;;;;
KT76;RHOME MEADOWS;900;13;3700;31;3700;;;;;;;;;;;;
KT78;LIBERTY MUN;70;16;3801;34;3801;;;;;;;;;;;;
KT79;SKYWAY MANOR;55;17;2550;35;2550;;;;;;;;;;;;
KT80;BISHOPS LANDING;750;17;1580;35;1580;;;;;;;;;;;;
KT82;GILLESPIE CO;1695;14;5001;32;5001;;;;;;;;;;;;
KT85;YOAKUM MUN;365;13;3444;31;3444;;;;;;;;;;;;
KT88;COLORADO CITY;2214;17;5479;35;5479;;;;;;;;;;;;
KT90;CHAMBERS CO-WINNIE STOWELL;25;17;3600;35;3600;;;;;;;;;;;;
KT91;CARTER MEML;475;17;2790;35;2790;;;;;;;;;;;;
KT92;MASON CO;1514;18;3716;36;3716;;;;;;;;;;;;
KT93;FOLLETT-LIPSCOMB CO;2601;17;4073;35;4073;;;;;;;;;;;;
KT94;TWIN-OAKS;873;12;2225;30;2225;;;;;;;;;;;;
KTAD;STOKES;5762;3;5500;9;5500;21;5500;27;5500;;;;;;;;
KTAN;TAUNTON MUN - KING FIELD;42;4;1900;12;3500;22;1900;30;3500;;;;;;;;
KTAZ;TAYLORVILLE MUN;622;09L;1933;09R;3501;18;4001;27L;3501;27R;1933;36;4001;;;;
KTBN;WAYNESVILLE-ST. ROBERT REGL FO;1159;14;6038;32;6038;;;;;;;;;;;;
KTBR;STATESBORO-BULLOCH CO;187;5;4382;14;6000;23;4382;32;6000;;;;;;;;
KTCC;TUCUMCARI MUN;4065;3;7104;8;4600;21;7104;26;4600;;;;;;;;
KTCL;TUSCALOOSA REGL;170;4;6499;12;4001;22;6499;30;4001;;;;;;;;
KTCM;MCCHORD;322;16;10108;34;10108;;;;;;;;;;;;
KTCS;TRUTH OR CONSEQUENCES MUN;4862;1;3302;7;2933;11;6981;13;7202;15;3001;19;3302;25;2933;29;6981
KTCY;TRACY MUN;193;8;3438;12;4001;26;3438;30;4001;;;;;;;;
KTDF;PERSON CO;609;6;6005;24;6005;;;;;;;;;;;;
KTDO;ED CARLSON MEML FIELD-SOUTH LE;374;6;4479;24;4479;;;;;;;;;;;;
KTDW;TRADEWIND;3649;5;3000;17;5098;23;3000;35;5098;;;;;;;;
KTDZ;TOLEDO EXECUTIVE;623;4;3799;14;5829;22;3799;32;5829;;;;;;;;
KTEB;TETERBORO;8;1;7000;6;6013;19;7000;24;6013;;;;;;;;
KTEL;PERRY CO MUN;660;13;4400;31;4400;;;;;;;;;;;;
KTEW;MASON JEWETT;920;10;4004;28;4004;;;;;;;;;;;;
KTEX;TELLURIDE REGL;9070;9;7111;27;7111;;;;;;;;;;;;
KTFP;MCCAMPBELL-PORTER;18;13;5000;31;5000;;;;;;;;;;;;
KTGC;GIBSON CO;358;1;4802;19;4802;;;;;;;;;;;;
KTGI;TANGIER I;5;2;2426;20;2426;;;;;;;;;;;;
KTHA;TULLAHOMA REGL/NORTHERN;1084;6;5501;9;2693;18;5002;24;5501;27;2693;36;5002;;;;
KTHM;THOMPSON FALLS;2467;8;4200;26;4200;;;;;;;;;;;;
KTHV;YORK;495;17;5188;35;5188;;;;;;;;;;;;
KTIF;THOMAS CO;2925;11;4400;29;4400;;;;;;;;;;;;
KTIK;TINKER AFB;1291;13;10000;18;11100;31;10000;36;11100;;;;;;;;
KTIP;RANTOUL NATL AVIATION CENTER-E;738;9;5001;18;4894;27;5001;36;4894;;;;;;;;
KTIW;TACOMA NARROWS;295;17;5002;35;5002;;;;;;;;;;;;
KTIX;SPACE COAST REGL;34;9;5000;18;7319;27;5000;36;7319;;;;;;;;
KTKC;TRACY MUN;1340;6;2516;11;3100;17;1798;24;2516;29;3100;35;1798;;;;
KTKI;MCKINNEY NATL;589;18;7002;36;7002;;;;;;;;;;;;
KTKO;MANKATO;1859;9;2505;17;3540;27;2505;35;3540;;;;;;;;
KTKV;TOMAHAWK REGL;1487;9;4401;27;4401;;;;;;;;;;;;
KTKX;KENNETT MEML;262;2;5000;18;3012;20;5000;36;3012;;;;;;;;
KTLH;TALLAHASSEE INTL;83;9;8000;18;7000;27;8000;36;7000;;;;;;;;
KTLR;MEFFORD;265;13;3901;31;3901;;;;;;;;;;;;
KTMA;HENRY TIFT MYERS;355;10;3807;16;6506;28;3807;34;6506;;;;;;;;
KTMB;MIAMI EXECUTIVE;10;09L;5003;09R;6000;13;4001;27L;6000;27R;5003;31;4001;;;;
KTME;HOUSTON EXECUTIVE;166;18;6610;36;6610;;;;;;;;;;;;
KTMK;TILLAMOOK;39;1;2911;13;5001;19;2911;31;5001;;;;;;;;
KTMT;AUSTIN;5735;1;6000;19;6000;;;;;;;;;;;;
KTNP;TWENTYNINE PALMS;1888;8;5531;17;3797;26;5531;35;3797;;;;;;;;
KTNT;DADE-COLLIER TRNG  TRANSITION;13;9;10499;27;10499;;;;;;;;;;;;
KTNU;NEWTON MUN-JOHNSON;953;14;5599;32;5599;;;;;;;;;;;;
KTNX;TEST RANGE;5550;14;12001;32;12001;;;;;;;;;;;;
KTOA;ZAMPERINI;103;11L;5001;11R;3000;29L;3000;29R;5001;;;;;;;;
KTOB;DODGE CENTER;1304;4;2383;16;4500;22;2383;34;4500;;;;;;;;
KTOC;TOCCOA-LETOURNEAU;996;3;5008;9;2951;21;5008;27;2951;;;;;;;;
KTOI;TROY MUN AT CAMPBELL;397;7;6197;14;5024;25;6197;32;5024;;;;;;;;
KTOL;TOLEDO EXPRESS;683;7;10599;16;5599;25;10599;34;5599;;;;;;;;
KTOP;PHILIP BILLARD MUN;881;13;5099;18;4331;31;5099;36;4331;;;;;;;;
KTOR;TORRINGTON MUN;4207;2;3001;10;5703;20;3001;28;5703;;;;;;;;
KTPA;TAMPA INTL;26;01L;11002;01R;8300;10;6999;19L;8300;19R;11002;28;6999;;;;
KTPF;KNIGHT;7;4;3583;18;2687;22;3583;36;2687;;;;;;;;
KTPH;TONOPAH;5430;11;6195;15;7158;29;6195;33;7158;;;;;;;;
KTPL;DRAUGHON-MILLER CENTRL TX REGL;682;2;4740;15;7000;20;4740;33;7000;;;;;;;;
KTQE;TEKAMAH MUN;1027;15;4000;33;4000;;;;;;;;;;;;
